"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
1,"CISO","PGAE",2024-08-06 09:49:48.240088,2018-07-01 08:00:00,2024-02-18,2018-07-01 08:00:00,2024-02-18,TRUE,TRUE,49385,50,"backfill",TRUE,TRUE,"Missing values were found;"
1,"CISO","SCE",2024-08-06 09:50:12.502711,2018-07-01 08:00:00,2024-02-18,2018-07-01 08:00:00,2024-02-18,TRUE,TRUE,49385,50,"backfill",TRUE,TRUE,"Missing values were found;"
1,"CISO","SDGE",2024-08-06 09:50:38.771004,2018-07-01 08:00:00,2024-02-18,2018-07-01 08:00:00,2024-02-18,TRUE,TRUE,49385,50,"backfill",TRUE,TRUE,"Missing values were found;"
1,"CISO","VEA",2024-08-06 09:51:03.671893,2018-07-01 08:00:00,2024-02-18,2018-07-01 08:00:00,2024-02-18,TRUE,TRUE,49385,50,"backfill",TRUE,TRUE,"Missing values were found;"
2,"CISO","PGAE",2024-08-06 10:14:17.850058,2024-02-18 01:00:00,2024-08-05 07:00:00,2024-02-18 01:00:00,2024-08-05 07:00:00,TRUE,TRUE,4063,0,"refresh",TRUE,TRUE,NA
2,"CISO","SCE",2024-08-06 10:14:22.153165,2024-02-18 01:00:00,2024-08-05 07:00:00,2024-02-18 01:00:00,2024-08-05 07:00:00,TRUE,TRUE,4063,0,"refresh",TRUE,TRUE,NA
2,"CISO","SDGE",2024-08-06 10:14:26.243282,2024-02-18 01:00:00,2024-08-05 07:00:00,2024-02-18 01:00:00,2024-08-05 07:00:00,TRUE,TRUE,4063,0,"refresh",TRUE,TRUE,NA
2,"CISO","VEA",2024-08-06 10:14:30.701204,2024-02-18 01:00:00,2024-08-05 07:00:00,2024-02-18 01:00:00,2024-08-05 07:00:00,TRUE,TRUE,4063,0,"refresh",TRUE,TRUE,NA
3,"CISO","PGAE",2024-08-06 12:36:12.818425,2024-08-05 08:00:00,2024-08-05 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","SCE",2024-08-06 12:36:12.819925,2024-08-05 08:00:00,2024-08-05 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","SDGE",2024-08-06 12:36:12.821357,2024-08-05 08:00:00,2024-08-05 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
3,"CISO","VEA",2024-08-06 12:36:12.822547,2024-08-05 08:00:00,2024-08-05 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
4,"CISO","PGAE",2024-08-07 01:21:40.323079,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
4,"CISO","SCE",2024-08-07 01:21:41.959251,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
4,"CISO","SDGE",2024-08-07 01:21:43.914029,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
4,"CISO","VEA",2024-08-07 01:21:45.519789,2024-08-05 08:00:00,2024-08-06 07:00:00,2024-08-05 08:00:00,2024-08-06 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
5,"CISO","PGAE",2024-08-07 12:37:08.985996,2024-08-06 08:00:00,2024-08-06 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
5,"CISO","SCE",2024-08-07 12:37:08.987488,2024-08-06 08:00:00,2024-08-06 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
5,"CISO","SDGE",2024-08-07 12:37:08.9886,2024-08-06 08:00:00,2024-08-06 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
5,"CISO","VEA",2024-08-07 12:37:08.989697,2024-08-06 08:00:00,2024-08-06 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
6,"CISO","PGAE",2024-08-08 01:21:18.51251,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
6,"CISO","SCE",2024-08-08 01:21:20.015971,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
6,"CISO","SDGE",2024-08-08 01:21:21.510819,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
6,"CISO","VEA",2024-08-08 01:21:22.99382,2024-08-06 08:00:00,2024-08-07 07:00:00,2024-08-06 08:00:00,2024-08-07 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
7,"CISO","PGAE",2024-08-08 12:36:36.126601,2024-08-07 08:00:00,2024-08-07 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
7,"CISO","SCE",2024-08-08 12:36:36.127838,2024-08-07 08:00:00,2024-08-07 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
7,"CISO","SDGE",2024-08-08 12:36:36.128884,2024-08-07 08:00:00,2024-08-07 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
7,"CISO","VEA",2024-08-08 12:36:36.129875,2024-08-07 08:00:00,2024-08-07 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
8,"CISO","PGAE",2024-08-09 01:22:22.823909,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
8,"CISO","SCE",2024-08-09 01:22:24.511844,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
8,"CISO","SDGE",2024-08-09 01:22:26.180522,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
8,"CISO","VEA",2024-08-09 01:22:28.158643,2024-08-07 08:00:00,2024-08-08 07:00:00,2024-08-07 08:00:00,2024-08-08 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
9,"CISO","PGAE",2024-08-09 12:36:13.696126,2024-08-08 08:00:00,2024-08-08 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","SCE",2024-08-09 12:36:13.697482,2024-08-08 08:00:00,2024-08-08 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","SDGE",2024-08-09 12:36:13.698559,2024-08-08 08:00:00,2024-08-08 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","VEA",2024-08-09 12:36:13.699648,2024-08-08 08:00:00,2024-08-08 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
10,"CISO","PGAE",2024-08-10 01:22:02.379553,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
10,"CISO","SCE",2024-08-10 01:22:05.029084,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
10,"CISO","SDGE",2024-08-10 01:22:07.833575,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
10,"CISO","VEA",2024-08-10 01:22:10.374844,2024-08-08 08:00:00,2024-08-09 07:00:00,2024-08-08 08:00:00,2024-08-09 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
11,"CISO","PGAE",2024-08-10 12:34:19.599,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
11,"CISO","SCE",2024-08-10 12:34:22.17431,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
11,"CISO","SDGE",2024-08-10 12:34:24.611116,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
11,"CISO","VEA",2024-08-10 12:34:27.028949,2024-08-09 08:00:00,2024-08-10 07:00:00,2024-08-09 08:00:00,2024-08-10 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
12,"CISO","PGAE",2024-08-11 01:27:30.853629,2024-08-10 08:00:00,2024-08-10 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","SCE",2024-08-11 01:27:30.855068,2024-08-10 08:00:00,2024-08-10 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","SDGE",2024-08-11 01:27:30.856179,2024-08-10 08:00:00,2024-08-10 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","VEA",2024-08-11 01:27:30.857247,2024-08-10 08:00:00,2024-08-10 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
13,"CISO","PGAE",2024-08-11 12:34:28.437984,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","SCE",2024-08-11 12:34:30.834309,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","SDGE",2024-08-11 12:34:33.452055,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","VEA",2024-08-11 12:34:35.808232,2024-08-10 08:00:00,2024-08-11 07:00:00,2024-08-10 08:00:00,2024-08-11 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
