index,parent,subba,time,start,end,start_act,end_act,start_match,end_match,n_obs,na,type,update,success,comments
1,CISO,PGAE,2024-08-06 09:46:46.225651+00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,True,True,49386.0,50.0,backfill,True,True,Missing values were found; 
1,CISO,SCE,2024-08-06 09:47:01.854627+00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,True,True,49386.0,50.0,backfill,True,True,Missing values were found; 
1,CISO,SDGE,2024-08-06 09:47:19.553041+00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,True,True,49386.0,50.0,backfill,True,True,Missing values were found; 
1,CISO,VEA,2024-08-06 09:47:36.126530+00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,2018-07-01 08:00:00,2024-02-18 01:00:00,True,True,49386.0,50.0,backfill,True,True,Missing values were found; 
2,CISO,PGAE,2024-08-06 10:12:44.063538+00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,True,True,4062.0,0.0,refresh,True,True,
2,CISO,SCE,2024-08-06 10:12:46.705342+00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,True,True,4062.0,0.0,refresh,True,True,
2,CISO,SDGE,2024-08-06 10:12:49.431867+00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,True,True,4062.0,0.0,refresh,True,True,
2,CISO,VEA,2024-08-06 10:12:52.171521+00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,2024-02-18 02:00:00,2024-08-05 07:00:00,True,True,4062.0,0.0,refresh,True,True,
3,CISO,PGAE,2024-08-06 12:23:53.114682+00:00,2024-08-05 08:00:00,2024-08-05 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
3,CISO,SCE,2024-08-06 12:23:53.115949+00:00,2024-08-05 08:00:00,2024-08-05 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
3,CISO,SDGE,2024-08-06 12:23:53.117755+00:00,2024-08-05 08:00:00,2024-08-05 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
3,CISO,VEA,2024-08-06 12:23:53.119075+00:00,2024-08-05 08:00:00,2024-08-05 07:00:00,,,,,,,refresh,False,False,"No new data is available; The data refresh failed, please check the log; "
